SampleID,Actual,Predicted,Actual PCN,Predicted PCN
2018,0.657452534,0.6967317041017064,0.9298697893832213,1.0071819112585971
4224,0.881381022,0.7690452620842417,1.414231512070478,1.157705227079978
10450,3.750136011,3.5338334609699573,41.526865728263104,33.25503156651412
4262,0.885660598,0.9333467255286464,1.4245855389277686,1.5430056940088468
11049,7.726964177,1.4811057606042453,2267.704350910646,3.3978059138211214
7879,1.784021945,1.6335670618683742,4.953754000129894,4.122113064742207
2312,0.687270101,0.7535344332871384,0.9882803133786628,1.1244956505462147
7562,1.613265215,1.9295651324603056,4.01917318020595,5.886514868555291
10688,4.130749711,3.870092067765512,61.22455588597615,46.94680023237644
5593,1.061859472,0.7499285657665927,1.8917431084087735,1.1168487957406026
6258,1.176915134,1.9982983242594528,2.2443503636096276,6.3764930136019
2929,0.742871801,0.8367236614017227,1.1019632753229136,1.3087901930794161
10399,3.670484455,2.5146623059708664,38.27092624924731,11.362433354214561
1193,0.54710738,0.7238809386566684,0.7282466198172307,1.0624218315556355
1941,0.649251628,0.8893158101742791,0.9141078281683404,1.4334641301894178
9116,2.616073049,2.5747547113785165,12.681889842025914,12.128096590806399
5840,1.10381898,0.7522152489065793,2.0156608091153214,1.1216948968288942
5517,1.052853291,0.7222496167626862,1.86581647180495,1.0590601004454958
9302,2.741763699,4.073303492990278,14.514323577806907,57.75072497747616
3047,0.756857581,0.6434574497988927,1.1315674071462314,0.9030492150421116
9602,2.942970776,2.906690218547532,17.972124608214273,17.296142010938873
927,0.504960131,1.0840148363157365,0.6569194594220381,1.9565257217712477
6482,1.228201027,1.1061471929467346,2.415080369478,2.022690089309412
6604,1.257532881,1.184820851566432,2.5167345732625144,2.270100935527036
7664,1.663468747,3.275406412494628,4.2775857403318405,25.453974521920763
10264,3.514617739,4.255120548576245,32.60308032142378,69.46531116938971
3678,0.821554185,0.8009395148312219,1.2740313579295524,1.2276328397392233
367,0.378254318,1.2346014020449556,0.4597341323387832,2.4370082631671712
3798,0.833244894,0.8178778126491633,1.3007724031173127,1.2656865206836532
10605,3.98081512,4.043419760146945,52.560674816172686,56.021007932199524
424,0.393745807,0.7008142037603218,0.48252365363965305,1.0153929801647397
4003,0.857122993,0.8057154224175462,1.3563716346159898,1.2382972541763473
7837,1.757645357,1.6434855064338558,4.798767279814715,4.1731692395971045
3125,0.764726194,1.0192891648626827,1.1484060476488809,1.771224180146533
2039,0.659601104,0.8268775849081352,0.9340207073887041,1.286169214920718
1194,0.547226225,0.7678912986828913,0.7284520254922398,1.155216750298735
9725,3.026078066,3.308185392900207,19.61621837922769,26.335477288389782
10446,3.743540921,2.459092053189337,41.247320049064825,10.694189016746503
10820,4.4201401,2.629735963661424,82.10792796346794,12.870107206286383
9847,3.130152994,2.930775423534674,21.87747939178807,17.742157973854646
2215,0.679046532,0.8735423535241151,0.9719965999190963,1.3953811290959954
694,0.459477342,0.7981458236935786,0.5832462723777853,1.2214182065417147
3846,0.837573404,1.828433748895851,1.3107529042385007,5.224130468978432
1281,0.561987781,0.724296523861993,0.7541559148150166,1.0632791216821764
1157,0.541161038,0.6563826531727869,0.7180003684044143,0.9278061628106379
9739,3.037184225,2.454002417098666,19.84646157063105,10.634821059083247
135,0.272995751,1.0206674284035573,0.31389466207445954,1.775046290730409
7464,1.563685579,1.3293758948953065,3.7763926172336406,2.7786843553081413
7467,1.565211309,0.997480776151887,3.7836856649376083,1.711442486584627
9748,3.045046243,3.383528955896564,20.01100279221685,28.474602369402625
3264,0.779830963,0.5819597734381319,1.1811035471352591,0.7895420934973544
10258,3.505870496,3.272268513567987,32.31042782953933,25.371094725880255
10438,3.727374045,2.376311237334371,40.56980427790357,9.76511956233071
9012,2.551001313,2.4180725216887864,11.819934124695092,10.224204041700565
2348,0.69060602,0.8217003591040939,0.9949241309107285,1.2743637867216275
10198,3.4336672,3.211416758691635,29.99008144803566,23.814217090470713
7243,1.457633042,1.136316489249465,3.2957795555287284,2.115272066666873
5400,1.035471989,0.7920599515439197,1.8164352484161466,1.2079399942843758
1418,0.583494392,0.9376039827788044,0.7922904663238765,1.553855001196419
8192,2.000922245,2.440008045045477,6.395873762267348,10.473133044300651
9632,2.96582868,3.4368279773657218,18.410781905266933,30.08818916268156
7520,1.591274434,1.457522499008789,3.9100024166710274,3.2953047134527917
5273,1.016169135,0.9484150677371594,1.7625913522917234,1.5816147306039814
4625,0.924761157,0.7387992208981483,1.5212660017027342,1.0934202693588497
4913,0.961855089,0.950074540766532,1.616545899490064,1.585902407279582
9422,2.820543488,2.289246406341834,15.785971167373333,8.867498794062987
5193,1.002773356,0.7779954665365251,1.7258310551855707,1.1771038111615784
9447,2.840152265,2.778153792310432,16.118371867606808,15.089289341410343
3219,0.775371061,0.7738664033778155,1.1713976987175936,1.1681329454033524
4700,0.933872831,3.0375302791845447,1.544343935215291,19.85367682425287
10649,4.056742063,3.573892624226611,56.785741766108266,34.65511533506744
2714,0.723527787,0.9272707825715768,1.0616936124625305,1.5276013817240737
426,0.393860057,0.5026711988036493,0.48269304164318677,0.653131220289814
4040,0.861227186,1.050416083085001,1.366062511595831,1.8588403857561513
5773,1.088862485,1.064679516230881,1.9708927147286484,1.8999094612048655
4091,0.864666929,0.7609490541567703,1.374215172047608,1.140306523713666
9659,2.984540975,2.6169312741853856,18.77742182140946,12.693637024614956
4048,0.861700313,1.3071724076365314,1.3671822245160752,2.6957089657148825
6385,1.202406871,1.0168673604188097,2.3281176403597397,1.764520937359956
5616,1.065039239,0.7394257353511815,1.9009528123137684,1.0947322383547302
5298,1.019044154,1.2430020756874756,1.7705452832914161,2.4660030653111717
2619,0.714322951,0.7368712194156606,1.042803136126634,1.0893880402969072
2168,0.67262361,0.8171049106653235,0.9593712089282111,1.2639360436377898
2588,0.71068372,0.7489297534199914,1.035382414676519,1.1147355165878718
5882,1.111841468,1.6515540793325445,2.0399512162403113,4.2150781780241795
5026,0.979064793,0.8084108114904174,1.6619655886205054,1.244338474198793
10478,3.78981574,3.1689306686295606,43.24824634291343,22.7820398732717
3061,0.758263635,0.9063438905925408,1.134566614054638,1.475256162320897
5537,1.055315593,1.2678798494061856,1.8728816721939812,2.553311016112791
1703,0.620106351,0.8210026240735506,0.8591257512156287,1.2727774369257019
543,0.424112777,0.7008486843729158,0.5282339337042262,1.0154624733473905
